scheme,MAE,RMSE,Bias,Mean_ESS,Median_ESS,Mean_ESS_Fraction,N_Windows
all_history,0.0005230309694394421,0.0006612228756546787,-0.00025740647069219443,639.8728431809409,628.8584506724128,0.11728237433609391,34
decay,0.0006130666908451474,0.0007818527136028937,0.0001572472552541706,130.58272560411558,112.3188750380289,0.02465928332322786,34
decay_regime,0.0006246480627103224,0.0008012988418773602,0.0001511620769350542,123.16405135862742,106.83215935728407,0.023312018257360952,34
last_252,0.0010762951734901974,0.0012788863180313568,0.00045601731280876947,47.09082135384608,41.09084756975149,0.1868683387057384,34
last_126,0.001467472366793094,0.001820377915034065,0.0013711049643685713,29.22583094391635,25.415111856726075,0.23195103923743132,34
last_60,0.0015258435989725374,0.002009513206081623,0.0014672427959495137,16.91709869969295,15.80907326027349,0.28195164499488246,34
