evidence_type,m_evidence,MAE,Median_Error,Bias,Mean_ESS,Mean_ESS_Fraction,N_Windows
history_only,0,0.0007432440625746636,0.0006970816125395718,0.00017118055753390882,124.74554582745031,0.023541420864831682,34
new_policy_rollout,5,0.0007524144456099856,0.000712754604383814,0.00019047056938070565,126.85725740467942,0.023910185361747743,34
new_policy_rollout,10,0.000733620283183114,0.0006914833943690211,0.00019585646740344383,129.1804151810412,0.02431809091101302,34
new_policy_rollout,20,0.0007484502366518999,0.0006965611544114781,0.0001925895238019642,133.39721513981982,0.025042445083620607,34
new_policy_rollout,40,0.0007709296701600673,0.0007344544915298646,0.0002236228096758244,141.88601038696666,0.02653504052659289,34
new_policy_rollout,80,0.000680742520653087,0.0006436122367496942,0.0002474920187396268,162.11513733317557,0.030055183966178536,34
recent_old_policy,5,0.000721968801746127,0.000751338126328727,0.00018001909282631327,124.98151446766593,0.023568014866454826,34
recent_old_policy,10,0.0007579324532196428,0.0007446237391139699,0.00012353634042448135,122.61576972388072,0.023139888394384477,34
recent_old_policy,20,0.0007018255049140707,0.0006414612521989977,0.00013638019206893353,114.42852152614448,0.02152722847477751,34
recent_old_policy,40,0.000658027793990666,0.0005794844418096205,5.618703819047937e-05,114.05854851161654,0.021385707732075293,34
recent_old_policy,80,0.0006539872949275533,0.0006113863844440673,-2.013304109901313e-05,117.9220735448224,0.021966965712380764,34
