epsilon,OPE_MAE,OPE_Error_SD,Mean_ESS,ESS_SD,Mean_ESS_Fraction,Mean_Min_Action_Freq,Mean_Action_Entropy,Mean_Behavior_Reward,Mean_Behavior_Final_Wealth,Freq_M1,Freq_0,Freq_P1,N_Repeats
0.01,0.0012018976055665584,0.0021856558681159475,49.786094688419496,41.97345475650083,0.19756386781118848,0.19186507936507938,0.9865352277459396,0.0003133430102262503,1.0802685114766268,0.3755952380952381,0.29285714285714287,0.3315476190476191,20
0.03,0.0006979481651977445,0.0008298781334477726,56.09618226520886,30.8952524854438,0.22260389787781296,0.19722222222222224,1.0261345639979136,0.000370064710392516,1.093977754362482,0.38571428571428573,0.2982142857142857,0.31607142857142856,20
0.05,0.000604045885610799,0.0005787377153069553,60.1379568264196,22.644937096758873,0.23864268581912537,0.23849206349206348,1.0564756123105614,0.0003810153605966018,1.0978488490457599,0.35059523809523807,0.3478174603174603,0.30158730158730157,20
0.1,0.00047931300426905514,0.000555269219605237,81.13642167510586,17.360921261120133,0.32196992728216617,0.25476190476190474,1.0721135675833486,0.0003660871277157153,1.094410023127,0.3458333333333333,0.35416666666666663,0.3,20
