estimator,MAE,RMSE,Bias,Mean_ESS,Median_ESS,Mean_ESS_Fraction,Max_Weight,N_Comparisons,Mean_Spearman_Rank,Best_Policy_Selection_Accuracy,N_Windows
IPS,0.0005871994468247396,0.0007809175324989492,-0.00028557441070717365,71.7955605230391,70.8092267249601,0.28490301794856787,31.999999988650067,136,0.15294117647058825,0.4411764705882353,34
SNIPS,0.0006169416370696004,0.0008029766776526643,-0.00024920019687625834,71.7955605230391,70.8092267249601,0.28490301794856787,31.999999988650067,136,0.14705882352941177,0.4411764705882353,34
DR,0.0006394718176374366,0.0008722169431330238,-5.8216693569656175e-05,71.7955605230391,70.8092267249601,0.28490301794856787,31.999999988650067,136,0.19999999999999996,0.5,34
DM,0.0011849985659014323,0.0018881098593934575,0.00022940647697011985,71.7955605230391,70.8092267249601,0.28490301794856787,31.999999988650067,136,0.11764705882352941,0.38235294117647056,34
